Appliances,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,Hour,DayOfWeek,Month,Is_Weekend,Avg_Indoor_Temp,Avg_Indoor_RH,Temp_Diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,rolling_mean_3,rolling_mean_6,rolling_mean_12,rolling_std_6
430,6.0,734.5,91.0,6.0,40.0,4.6,19,0,1,0,17.18518518518518,51.85407407407407,11.18518518518518,580.0,230.0,70.0,60.0,60.0,60.0,293.3333333333333,176.66666666666666,115.83333333333333,208.6783809278447
250,6.0,734.616666666667,90.5,6.0,40.0,4.51666666666667,19,0,1,0,17.214907407407395,52.675,11.214907407407395,430.0,580.0,230.0,70.0,60.0,60.0,413.3333333333333,238.33333333333334,146.66666666666666,221.5776763725684
100,6.0,734.733333333333,90.0,6.0,40.0,4.43333333333333,19,0,1,0,17.25222222222222,53.51981481481481,11.252222222222219,250.0,430.0,580.0,230.0,70.0,60.0,420.0,270.0,162.5,203.86269889315207
100,6.0,734.85,89.5,6.0,40.0,4.35,19,0,1,0,17.286666666666665,53.49657407407408,11.286666666666665,100.0,250.0,430.0,580.0,230.0,70.0,260.0,276.6666666666667,166.66666666666666,196.1292091114086
90,6.0,734.966666666667,89.0,6.0,40.0,4.26666666666667,19,0,1,0,17.310740740740755,53.378888888888895,11.310740740740755,100.0,100.0,250.0,430.0,580.0,230.0,150.0,281.6666666666667,170.83333333333334,190.09646673903924
70,6.0,735.0833333333329,88.5,6.0,40.0,4.18333333333333,19,0,1,0,17.313333333333347,53.37824074074074,11.313333333333347,90.0,100.0,100.0,250.0,430.0,580.0,96.66666666666667,258.3333333333333,173.33333333333334,205.66153424174064
80,6.0,735.2,88.0,6.0,40.0,4.1,20,0,1,0,17.319629629629624,52.96962962962962,11.319629629629624,70.0,90.0,100.0,100.0,250.0,430.0,86.66666666666667,173.33333333333334,175.0,141.51560573543358
140,6.0,735.233333333333,87.8333333333333,6.0,40.0,4.06666666666667,20,0,1,0,17.374814814814815,54.36703703703702,11.374814814814815,80.0,70.0,90.0,100.0,100.0,250.0,80.0,115.0,176.66666666666666,67.15653356152345
120,6.0,735.266666666667,87.6666666666667,6.0,40.0,4.03333333333333,20,0,1,0,17.465000000000007,55.06925925925926,11.465000000000007,140.0,80.0,70.0,90.0,100.0,100.0,96.66666666666667,96.66666666666667,183.33333333333334,24.22120283278054
190,6.0,735.2999999999998,87.5,6.0,40.0,4.0,20,0,1,0,17.45888888888889,54.89518518518521,11.45888888888889,120.0,140.0,80.0,70.0,90.0,100.0,113.33333333333333,100.0,188.33333333333334,26.076809620811144
110,6.0,735.3333333333329,87.3333333333333,6.0,40.0,3.9666666666666694,20,0,1,0,17.497777777777767,54.77296296296295,11.497777777777767,190.0,120.0,140.0,80.0,70.0,90.0,150.0,115.0,198.33333333333334,45.055521304275516
110,6.0,735.366666666667,87.1666666666667,6.0,40.0,3.9333333333333296,20,0,1,0,17.548888888888897,54.445185185185174,11.548888888888897,110.0,190.0,120.0,140.0,80.0,70.0,140.0,118.33333333333333,188.33333333333334,43.55073669487913
110,6.0,735.4,87.0,6.0,40.0,3.9,21,0,1,0,17.61222222222223,54.684074074074054,11.612222222222229,110.0,110.0,190.0,120.0,140.0,80.0,136.66666666666666,125.0,149.16666666666666,37.28270376461481
110,5.93333333333333,735.466666666667,87.1666666666667,6.0,40.0,3.86666666666667,21,0,1,0,17.693333333333342,54.52925925925925,11.760000000000012,110.0,110.0,110.0,190.0,120.0,140.0,110.0,130.0,122.5,31.622776601684134
100,5.86666666666667,735.533333333333,87.3333333333333,6.0,40.0,3.8333333333333295,21,0,1,0,17.711481481481478,53.28592592592592,11.844814814814807,110.0,110.0,110.0,110.0,190.0,120.0,110.0,125.0,110.83333333333333,32.09361307176278
100,5.8,735.6,87.5,6.0,40.0,3.8,21,0,1,0,17.757407407407413,52.37222222222223,11.957407407407413,100.0,110.0,110.0,110.0,110.0,190.0,106.66666666666667,121.66666666666667,110.83333333333333,33.71448748930777
100,5.73333333333333,735.6666666666669,87.6666666666667,6.0,40.0,3.7666666666666706,21,0,1,0,17.78703703703705,52.02925925925925,12.053703703703718,100.0,100.0,110.0,110.0,110.0,110.0,103.33333333333333,106.66666666666667,110.83333333333333,5.163977794945823
100,5.66666666666667,735.733333333333,87.8333333333333,6.0,40.0,3.7333333333333294,21,0,1,0,17.846111111111114,51.73148148148149,12.179444444444444,100.0,100.0,100.0,110.0,110.0,110.0,100.0,105.0,111.66666666666667,5.477225575054148
110,5.6,735.7999999999998,88.0,6.0,40.0,3.7,22,0,1,0,17.867037037037033,51.4072222222222,12.267037037037033,100.0,100.0,100.0,100.0,110.0,110.0,100.0,103.33333333333333,114.16666666666667,5.163977794945898
400,5.65,735.8833333333331,87.8333333333333,6.16666666666667,40.0,3.7166666666666694,22,0,1,0,17.889999999999997,51.09592592592591,12.239999999999997,110.0,100.0,100.0,100.0,100.0,110.0,103.33333333333333,103.33333333333333,116.66666666666667,5.163977794945898
400,5.7,735.966666666667,87.6666666666667,6.3333333333333295,40.0,3.7333333333333294,22,0,1,0,17.965555555555554,50.907407407407405,12.265555555555554,400.0,110.0,100.0,100.0,100.0,100.0,203.33333333333334,151.66666666666666,138.33333333333334,121.72373091006816
390,5.75,736.0499999999998,87.5,6.5,40.0,3.75,22,0,1,0,18.032037037037032,50.61462962962961,12.282037037037032,400.0,400.0,110.0,100.0,100.0,100.0,303.3333333333333,201.66666666666666,161.66666666666666,153.67715076310685
240,5.8,736.1333333333331,87.3333333333333,6.66666666666667,40.0,3.7666666666666706,22,0,1,0,18.094444444444445,50.3637037037037,12.294444444444444,390.0,400.0,400.0,110.0,100.0,100.0,396.6666666666667,250.0,178.33333333333334,160.74825037928093
60,5.85,736.216666666667,87.1666666666667,6.8333333333333295,40.0,3.7833333333333297,22,0,1,0,18.133240740740746,50.27296296296297,12.283240740740746,240.0,390.0,400.0,400.0,110.0,100.0,343.3333333333333,273.3333333333333,189.16666666666666,143.89811210251042
60,5.9,736.2999999999998,87.0,7.0,40.0,3.8,23,0,1,0,18.154166666666672,50.28574074074075,12.254166666666672,60.0,240.0,390.0,400.0,400.0,110.0,230.0,266.6666666666667,185.0,154.09953493332372
60,5.8,736.4,87.8333333333333,6.8333333333333295,37.0,3.85,23,0,1,0,18.13259259259259,50.499629629629645,12.33259259259259,60.0,60.0,240.0,390.0,400.0,400.0,120.0,258.3333333333333,180.83333333333334,165.21702898510995
